## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
his brothers | who | Acts 1:14 | this is likely the literal half-brothers of Jesus who did not follow Him during His earthly ministry, but are now believers 
Observation | W | Verse | Thoughts / Details
Peter | who | Acts 1:15 | one of the "inner three" disciples of Jesus, Peter will feature prominently in the first half of Acts 
numbering about 120  | what | Acts 1:15 | interestingly, in the early Jewish writings called the Mishna, 120 Jews were required to establish a community and sanhedron
Brother (and sisters)  | who | Acts 1:16 | the Greek word here is "adelphos" which can literally mean "of the same parents" or also mean "of the same people" some 
 |  |  | translations use only "brother" for this, however in context, v14 showed women present, "believers" can also be correct 
Holy Spirit… David | what | Acts 1:16 | Peter clearly believes that David wrote the Pslams under the unction of the Holy Spirit, attesting to the OT's inspiration 
(death of Judas)  | what |  Acts 1:17-19 | there are some differences in Luke's account of Judas' death and that of Matthew (27:1-10), these can be harmonanized 
 |  |  | or we can accept that there were multiple reports of Judas's death circulating at that time. 
for it is written… | what | Acts 1:20 | Peter quotes here from Psalm 69:25 & 109:8, because David is the author, it was common in this day to see these psalms
 |  |  | in a messianic context, thus Peter uses them to explain the Judas' betrayal and replacement to the proto-Christian Church
therefore it is necessary | what | Acts 1:21 | Peter sees the restoration of the twelve as a necessary ministry task. This may be in light of the witness to the Jewish culture
 |  |  | that the twelve apostles are analogous to the 12 tribes of Israel 
choose one of the men… | what | Acts 1:21-22 | Peter puts forth several criteria for selection at this time
 |  |  | 1. "man" is a masculine noun, this requires the selection to be male 
 |  |  | 2. "been with us the whole time" this requires that the appointee have the same expierience with Jesus as the eleven 
 |  |  | 3. "john's baptism to ascension" this describes the full time table of Jesus earthly ministry, they must have been with them 
 |  |  | 4. "witness of the ressurection" this puts in full view the purpose for the apostle which is to be a witness 
two nominees  | who | Acts 1:23 | these two nominees are the only men put forward, this doesn’t mean they were the only other witnesses, it could simply 
 |  |  | imply they were the only men to meet the criteria who were also present at this time 
prayed… Lord… heart | what | Acts 1:24 | much like the selection of David from among his brothers, the disciples ask the Lord "who knows the heart" (1 Samuel 16:7)
you have chosen | what | Acts 1:24 | the apostles do not see themselves as the electors to the ministry, but rather as the witnesses of the Lord's election 
cast lots | what | Acts 1:26 | this is very similar to rolling dice. Two stones would be placed in a cup, each with a name on it, the cup would be staken until
 |  |  | one of the stones falls out. This is viewed not as random chance but as the divine appointment from God see Proverbs 16:33

## Sheet: Sheet2

## Sheet: Sheet3
