## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
prayed for… brothers | what | Luke 22:32 | here Jesus focuses again on Peter, praying for him to be the encourager for his fellow brothers even after his coming fall 
Lord, I am ready… | what | Luke 22:33 | perhaps the most over confident statement Peter could make, he is trusting in his own physical ability to remain faithful 
before the rooster crows | when | Luke 22:34 | this is likely a literal rooster making a literal crowing, although some have suggested it was a reference to the 
 |  |  | gallicinium which is the Roman military bugle call marking the third division of the night. The Greek word for the 
 |  |  | gallicinium is literally "cockcrow" describing the sound of the bugle call. 
deny three times | what | Luke 22:34 | despite Peter's overwhelming confidence, He does deny the Lord in the midst of the questioning before the crucifixion 
I sent… lack anything | what | Luke 22:35 | Jesus reminds His disciples that when they were sent out by His Word, they lacked nothing do provide for themselves
but now… | what | Luke 22:36 | Jesus tells his disciples that they will now need to provide for themselves going forward in their ministries 
purse, bag, and sword | what | Luke 22:36 | I (Pastor Bill) don't believe Jesus is speaking of literal items, but rather that from this point forward His disciples would 
 |  |  | need to provide for their own finances (purse), transportation (bag), and tools (sword), I further do not believe the sword 
 |  |  | should be viewed as a weapon of aggression, but a tool of defense
numbered with the… | what | Luke 22:37 | this is a direct quote from Isaiah 53:12 
that is enough | what | Luke 22:38 | this verse should not be seen as Jesus declaring the number of weapons a person should have but rather the Savior's 
 |  |  | irritation that His disciples were not understanding what He was saying i.e., "that is enough of this foolish talk" 

## Sheet: Sheet2

## Sheet: Sheet3
