## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
Herod wants to kill you  | what | Luke 13:31 | Herod Antipas, one of the sons of Herod the Great, could have been wanting to kill Jesus, but it could also be a ploy 
go tell that fox | what | Luke 13:32 | the fox was not considered a smart or crafty animal in this time period, it is more likely an insignificant animal (Neh 4:3)
 |  |  | the fox reference then is more likely to illustrate that while the Pharisees were trying to get Jesus to fear Herod, He did not
 |  |  | there is also a less than subtle connection between the "fox" in v 32 and the Hen with her chicks in v34
today, tomorrow, third day | when | Luke 13:32-33 | this should not be taken as a literaly three day declaration of the coming Resurrection. This is a common phrase of the day 
 |  |  | much like "today or the next day" for us toda. 
Jerusalem kill the prophets | what | Luke 13:34 | ironically, the City of David to whom the prophets are sent is the one who kills them. 
your house… desolate | what | Luke 13:35 | this is a possible prophetic reference to the destruction of the Temple in AD 70
not see me again until | when | Luke 13:35 | Jesus references His second coming to redeem the Holy City 

## Sheet: Sheet2

## Sheet: Sheet3
