## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
 |  |  | of the fruit of the promised land (Joshua 5:12)
a prophet like me | who | Acts 7:37-38 | Stephen now connects the character of Moses and Jesus as the divinely appointed and rejected deliverers of Israel 
our fathers refused to obey | what | Acts 7:39 | in the famous "golden calf" story, the people of Israel are disobedient at the foot of Mount Sinai even after seeing the 
 |  |  | powerful miracles of God. 
Observation | W | Verse | Thoughts / Details
make us gods | what | Acts 7:40-41 | rather than worship the unseen powerful God, the people chose instead to worship gods of man made crafting, this is idolatry 
I will send you into exile | what | Acts 7:42-43 | from the time of Moses and Aaron to that of Nehemiah in the end of the Old Testament period, the people of Israel struggled
 |  |  | with idolatry, constantly being drawn away from the One True God by their false man-made creations
the Tabernacle & Temple | where | Acts 7:44-47 | the Tabernacle was built at God's instruction for Him to dwell among His people (Ex 25:8), likewise Solomon's temple 
 |  |  | was constructed to be a permanent dwelling of the Lord, the building of the Temple begins with the promise from God
 |  |  | to establish a "forever king" from his sons (1 Chron 17)
does not live in houses  | what | Acts 7:48-50 | Stephen brings his argument full circle now and declare that God does not dwell in houses "made by men". This not only 
 |  |  | defends the charge that he was "speaking against this holy place" because the Temple is in fact a house made by men
 |  |  | but also points out, like their fathers before them, the Sanhredin were being idolatrous of the Temple as a thing
uncircumsized hearts | what | Acts 7:51 | the accusation here is that while their physical bodies may bear the sign of circumscion (ie, being one of God's people) their
 |  |  | hearts were far from Godly. They had rejected their deliverer and in doing so have ignored the Holy Spirit's direction
was a there a prophet | what | Acts 7:52 | like the religious leaders before them, they persecuted those who had been sent by God and empowered by the Spirit 
have not obeyed the law | what | Acts 7:53 | here, in his final line, Stephen defends the accusation that he has broken the Law, by illustrating that it is in fact the 
 |  |  | Sanhedrin who in their pride and selfishness have rejected their deliverer and broken the very Law of God, what they were 
 |  |  | falsely accusing him of doing. 

## Sheet: Sheet2

## Sheet: Sheet3
